isHelpful,response,created_at,WM Entities
False,Keif/hash dispensaries,2020-09-08 21:50:17,"{'labels': {'SERVICE': 1}, 'entities': [{'key': 'storefront', 'label': 'SERVICE', 'text': 'dispensaries', 'token_end': 4, 'token_start': 3}]}"
False,I need a battery for a cart,2020-07-15 19:08:10,"{'labels': {'PRODUCT': 2}, 'entities': [{'key': 'battery', 'label': 'PRODUCT', 'text': 'battery', 'token_end': 4, 'token_start': 3}, {'key': 'cart', 'label': 'PRODUCT', 'text': 'cart', 'token_end': 7, 'token_start': 6}]}"
False,"1818 Packard
",2020-07-16 4:04:29,"{'labels': {}, 'entities': []}"
False,"Salem, MA
or 
Lynn, MA",2020-09-03 1:37:23,"{'labels': {'GPE': 2}, 'entities': [{'key': 'Salem', 'label': 'GPE', 'text': 'Salem', 'token_end': 1, 'token_start': 0}, {'key': 'Lynn', 'label': 'GPE', 'text': 'Lynn', 'token_end': 7, 'token_start': 6}]}"
True,Not yet.,2020-09-14 14:03:31,"{'labels': {}, 'entities': []}"
False,Do you sell to non medical? Recreational,2020-07-16 19:35:32,"{'labels': {'SERVICE': 2}, 'entities': [{'key': 'medical', 'label': 'SERVICE', 'text': 'medical', 'token_end': 6, 'token_start': 5}, {'key': 'recreational', 'label': 'SERVICE', 'text': 'Recreational', 'token_end': 8, 'token_start': 7}]}"
False,I'm looking for orange banana by wonderbrett,2020-09-11 17:31:45,"{'labels': {'PRODUCT_TAG': 2, 'STRAIN': 1, 'TAGKIND': 1}, 'entities': [{'key': 'orange', 'label': 'PRODUCT_TAG', 'text': 'orange', 'token_end': 5, 'token_start': 4}, {'key': 'banana', 'label': 'STRAIN', 'text': 'banana', 'token_end': 6, 'token_start': 5}, {'key': 'by', 'label': 'TAGKIND', 'text': 'by', 'token_end': 7, 'token_start': 6}, {'key': 'wonderbrett', 'label': 'PRODUCT_TAG', 'text': 'wonderbrett', 'token_end': 8, 'token_start': 7}]}"
False,"I want something that you can chew or swallow for pain I really don't like to smoke anything 
Irubs the type of Injuries I have it wouldn't it wouldn't help do you have anything for a thing tanything for deep pain ",2020-08-16 4:29:18,"{'labels': {'GPE': 1, 'PRODUCT_TAG': 2}, 'entities': [{'key': 'chew', 'label': 'GPE', 'text': 'chew', 'token_end': 7, 'token_start': 6}, {'key': 'pain', 'label': 'PRODUCT_TAG', 'text': 'pain', 'token_end': 11, 'token_start': 10}, {'key': 'pain', 'label': 'PRODUCT_TAG', 'text': 'pain', 'token_end': 45, 'token_start': 44}]}"
False,"Dim brand. Strawberry cough, vape 1000mg. What is the THC level
",2020-07-18 21:09:24,"{'labels': {'PRODUCT': 1, 'PRODUCT_TAG': 2, 'SERVICE': 1, 'STRAIN': 1}, 'entities': [{'key': 'dim', 'label': 'SERVICE', 'text': 'Dim', 'token_end': 1, 'token_start': 0}, {'key': 'Strawberry cough', 'label': 'STRAIN', 'text': 'Strawberry cough', 'token_end': 5, 'token_start': 3}, {'key': 'vape', 'label': 'PRODUCT', 'text': 'vape', 'token_end': 7, 'token_start': 6}, {'key': '1000 mg', 'label': 'PRODUCT_TAG', 'text': '1000mg', 'token_end': 9, 'token_start': 7}, {'key': 'THC', 'label': 'PRODUCT_TAG', 'text': 'THC', 'token_end': 14, 'token_start': 13}]}"
True,"It was so good
",2020-08-22 19:01:43,"{'labels': {}, 'entities': []}"
False,Im in grand island Nebraska where is the neatest open marijuana dis.,2020-07-19 17:38:02,"{'labels': {'GPE': 1, 'SERVICE': 1}, 'entities': [{'key': 'grand island', 'label': 'GPE', 'text': 'grand island', 'token_end': 5, 'token_start': 3}, {'key': 'open', 'label': 'SERVICE', 'text': 'open', 'token_end': 11, 'token_start': 10}]}"
False,Higher thc,2020-07-19 19:57:10,"{'labels': {'PRODUCT_TAG': 1}, 'entities': [{'key': 'thc', 'label': 'PRODUCT_TAG', 'text': 'thc', 'token_end': 2, 'token_start': 1}]}"
False,Looking for the pro-dap presidential,2020-08-22 22:12:48,"{'labels': {'STRAIN': 1}, 'entities': [{'key': 'dap presidential', 'label': 'STRAIN', 'text': 'dap presidential', 'token_end': 7, 'token_start': 5}]}"
False,Looking for products in Vermont,2020-07-20 14:16:50,"{'labels': {'GPE': 1}, 'entities': [{'key': 'Vermont', 'label': 'GPE', 'text': 'Vermont', 'token_end': 5, 'token_start': 4}]}"
False,Do you have edibles,2020-07-21 1:32:29,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'edible', 'label': 'PRODUCT', 'text': 'edibles', 'token_end': 4, 'token_start': 3}]}"
False,Marijuana sales michigan,2020-07-21 17:02:03,"{'labels': {'GPE': 2}, 'entities': [{'key': 'sale', 'label': 'GPE', 'text': 'sales', 'token_end': 2, 'token_start': 1}, {'key': 'michigan', 'label': 'GPE', 'text': 'michigan', 'token_end': 3, 'token_start': 2}]}"
False,Dog patch trim,2020-08-28 19:54:46,"{'labels': {'PRODUCT': 1, 'STRAIN': 1}, 'entities': [{'key': 'Dog patch', 'label': 'STRAIN', 'text': 'Dog patch', 'token_end': 2, 'token_start': 0}, {'key': 'trim', 'label': 'PRODUCT', 'text': 'trim', 'token_end': 3, 'token_start': 2}]}"
False,looking for a puffco peak,2020-09-14 1:13:46,"{'labels': {'ORG': 1}, 'entities': [{'key': 'puffco', 'label': 'ORG', 'text': 'puffco', 'token_end': 4, 'token_start': 3}]}"
False,A flower strain called greese monkey,2020-07-22 17:30:15,"{'labels': {'PRODUCT': 1, 'PRODUCT_TAG': 1}, 'entities': [{'key': 'flower', 'label': 'PRODUCT', 'text': 'flower', 'token_end': 2, 'token_start': 1}, {'key': 'strain', 'label': 'PRODUCT_TAG', 'text': 'strain', 'token_end': 3, 'token_start': 2}]}"
False,Looking for a dispensary around collage az,2020-07-23 14:38:59,"{'labels': {'GPE': 2, 'SERVICE': 1}, 'entities': [{'key': 'storefront', 'label': 'SERVICE', 'text': 'dispensary', 'token_end': 4, 'token_start': 3}, {'key': 'collage', 'label': 'GPE', 'text': 'collage', 'token_end': 6, 'token_start': 5}, {'key': 'az', 'label': 'GPE', 'text': 'az', 'token_end': 7, 'token_start': 6}]}"
False,"It's a product name LOL, they're 500 milligram gummies. One of my cousins sold me two bags for $30 bucks each. My cousin burns a lot of people, so I'd rather look for them myself. ",2020-08-17 12:08:49,"{'labels': {'GPE': 1, 'MONEY': 2, 'PRODUCT': 2, 'SERVICE': 1, 'TAGKIND': 1}, 'entities': [{'key': 'product', 'label': 'TAGKIND', 'text': 'product', 'token_end': 4, 'token_start': 3}, {'key': 'gummie', 'label': 'PRODUCT', 'text': 'gummies', 'token_end': 12, 'token_start': 11}, {'key': 'sell', 'label': 'SERVICE', 'text': 'sold', 'token_end': 18, 'token_start': 17}, {'key': '$ 30', 'label': 'MONEY', 'text': '$30', 'token_end': 24, 'token_start': 22}, {'key': 'buck each', 'label': 'MONEY', 'text': 'bucks each', 'token_end': 26, 'token_start': 24}, {'key': 'cousin', 'label': 'PRODUCT', 'text': 'cousin', 'token_end': 29, 'token_start': 28}, {'key': 'people', 'label': 'GPE', 'text': 'people', 'token_end': 34, 'token_start': 33}]}"
False,Brand. I am trying to search a BRAND. Every BRAND I search brings me to a stupid dispensary or something I am not looking for. When I switch to BRAND it takes me to a map or a delivery service or anything other than the actual BRAND. It isnt user error your site just doesnt work properly anymore. I am about to stop using weedmaps as you have become useless.,2020-07-10 21:12:17,"{'labels': {'GPE': 1, 'ORG': 1, 'RETAILER': 1, 'SERVICE': 4}, 'entities': [{'key': 'brand .', 'label': 'GPE', 'text': 'Brand.', 'token_end': 2, 'token_start': 0}, {'key': 'storefront', 'label': 'SERVICE', 'text': 'dispensary', 'token_end': 20, 'token_start': 19}, {'key': 'delivery', 'label': 'SERVICE', 'text': 'delivery', 'token_end': 42, 'token_start': 41}, {'key': 'other', 'label': 'SERVICE', 'text': 'other', 'token_end': 46, 'token_start': 45}, {'key': 'do', 'label': 'SERVICE', 'text': 'does', 'token_end': 60, 'token_start': 59}, {'key': 'be about', 'label': 'RETAILER', 'text': 'am about', 'token_end': 68, 'token_start': 66}, {'key': 'weedmap', 'label': 'ORG', 'text': 'weedmaps', 'token_end': 72, 'token_start': 71}]}"
False,Gummies,2020-07-11 1:55:54,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'gummie', 'label': 'PRODUCT', 'text': 'Gummies', 'token_end': 1, 'token_start': 0}]}"
False,CBD flower is scarce!,2020-08-14 17:23:44,"{'labels': {'PRODUCT': 1, 'PRODUCT_TAG': 1}, 'entities': [{'key': 'CBD', 'label': 'PRODUCT_TAG', 'text': 'CBD', 'token_end': 1, 'token_start': 0}, {'key': 'flower', 'label': 'PRODUCT', 'text': 'flower', 'token_end': 2, 'token_start': 1}]}"
False,Weed plants to grow clones,2020-09-10 8:44:25,"{'labels': {'PRODUCT': 2}, 'entities': [{'key': 'plant', 'label': 'PRODUCT', 'text': 'plants', 'token_end': 2, 'token_start': 1}, {'key': 'clone', 'label': 'PRODUCT', 'text': 'clones', 'token_end': 5, 'token_start': 4}]}"
False,Verano G6 Jet Fuel flower,2020-08-20 21:20:15,"{'labels': {'ORG': 1, 'PRODUCT': 1, 'STRAIN': 2}, 'entities': [{'key': 'Verano', 'label': 'ORG', 'text': 'Verano', 'token_end': 1, 'token_start': 0}, {'key': 'G6', 'label': 'STRAIN', 'text': 'G6', 'token_end': 2, 'token_start': 1}, {'key': 'Jet Fuel', 'label': 'STRAIN', 'text': 'Jet Fuel', 'token_end': 4, 'token_start': 2}, {'key': 'flower', 'label': 'PRODUCT', 'text': 'flower', 'token_end': 5, 'token_start': 4}]}"
False,Tea,2020-07-12 3:21:00,"{'labels': {'PRODUCT_TAG': 1}, 'entities': [{'key': 'tea', 'label': 'PRODUCT_TAG', 'text': 'Tea', 'token_end': 1, 'token_start': 0}]}"
False,trying to search by location,2020-07-13 13:08:37,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'location', 'label': 'PRODUCT', 'text': 'location', 'token_end': 5, 'token_start': 4}]}"
False,Want sights that will deliver if i choose. Would be nice to have an area where you can choose what the issue is related to. Thanks,2020-07-13 23:20:13,"{'labels': {'GPE': 2, 'PRODUCT_TAG': 1, 'SERVICE': 1, 'STRAIN': 1}, 'entities': [{'key': 'want sight', 'label': 'STRAIN', 'text': 'Want sights', 'token_end': 2, 'token_start': 0}, {'key': 'deliver', 'label': 'SERVICE', 'text': 'deliver', 'token_end': 5, 'token_start': 4}, {'key': 'choose', 'label': 'GPE', 'text': 'choose', 'token_end': 8, 'token_start': 7}, {'key': 'Would be', 'label': 'GPE', 'text': 'Would be', 'token_end': 11, 'token_start': 9}, {'key': 'choose', 'label': 'PRODUCT_TAG', 'text': 'choose', 'token_end': 20, 'token_start': 19}]}"
False,I am looking for flower or other edible products containing Delta 8,2020-08-27 17:24:52,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'flower', 'label': 'PRODUCT', 'text': 'flower', 'token_end': 5, 'token_start': 4}]}"
False,"looking 200 miles ahead, no results given",2020-07-14 19:50:58,"{'labels': {'RETAILER': 1, 'SERVICE': 1}, 'entities': [{'key': 'look 200', 'label': 'RETAILER', 'text': 'looking 200', 'token_end': 2, 'token_start': 0}, {'key': 'mile', 'label': 'SERVICE', 'text': 'miles', 'token_end': 3, 'token_start': 2}]}"
False,Trying to find mhwc dispensary in Hagerstown,2020-09-10 16:24:27,"{'labels': {'GPE': 1, 'SERVICE': 1}, 'entities': [{'key': 'storefront', 'label': 'SERVICE', 'text': 'dispensary', 'token_end': 5, 'token_start': 4}, {'key': 'Hagerstown', 'label': 'GPE', 'text': 'Hagerstown', 'token_end': 7, 'token_start': 6}]}"
True,Weed,2020-08-21 17:27:36,"{'labels': {}, 'entities': []}"
False,looking for 1:1 cartridges,2020-07-15 17:31:12,"{'labels': {'PRODUCT': 1, 'PRODUCT_TAG': 1}, 'entities': [{'key': '1:1', 'label': 'PRODUCT_TAG', 'text': '1:1', 'token_end': 3, 'token_start': 2}, {'key': 'cartridge', 'label': 'PRODUCT', 'text': 'cartridges', 'token_end': 4, 'token_start': 3}]}"
True,"


",2020-09-05 22:20:28,"{'labels': {}, 'entities': []}"
False,Looking for the brand sourface.,2020-07-16 18:40:50,"{'labels': {}, 'entities': []}"
False,Ghost Train Haze,2020-08-22 17:23:27,"{'labels': {'STRAIN': 1}, 'entities': [{'key': 'ghost train haze', 'label': 'STRAIN', 'text': 'Ghost Train Haze', 'token_end': 3, 'token_start': 0}]}"
False,flower by the ounce,2020-07-18 13:09:08,"{'labels': {'PRODUCT': 1, 'QUANTITY': 1}, 'entities': [{'key': 'flower', 'label': 'PRODUCT', 'text': 'flower', 'token_end': 1, 'token_start': 0}, {'key': 'ounce', 'label': 'QUANTITY', 'text': 'ounce', 'token_end': 4, 'token_start': 3}]}"
False,Moonrocks deals,2020-08-22 5:19:23,"{'labels': {'SERVICE': 1}, 'entities': [{'key': 'deal', 'label': 'SERVICE', 'text': 'deals', 'token_end': 2, 'token_start': 1}]}"
False,Pre rolls,2020-07-20 3:04:11,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'roll', 'label': 'PRODUCT', 'text': 'rolls', 'token_end': 2, 'token_start': 1}]}"
False,Never can get what I want  in my  city,2020-08-16 23:48:28,"{'labels': {'GPE': 3}, 'entities': [{'key': 'never', 'label': 'GPE', 'text': 'Never', 'token_end': 1, 'token_start': 0}, {'key': '-PRON-', 'label': 'GPE', 'text': 'my', 'token_end': 9, 'token_start': 8}, {'key': 'city', 'label': 'GPE', 'text': 'city', 'token_end': 11, 'token_start': 10}]}"
False,no bongs or accessories to purchase,2020-07-20 19:53:29,"{'labels': {'PRODUCT': 2}, 'entities': [{'key': 'bong', 'label': 'PRODUCT', 'text': 'bongs', 'token_end': 2, 'token_start': 1}, {'key': 'accessory', 'label': 'PRODUCT', 'text': 'accessories', 'token_end': 4, 'token_start': 3}]}"
False,White widow,2020-07-21 0:27:36,"{'labels': {'STRAIN': 1}, 'entities': [{'key': 'white widow', 'label': 'STRAIN', 'text': 'White widow', 'token_end': 2, 'token_start': 0}]}"
False,Pictures don't show and info on products incomplete.  Renders site annoying and not useful,2020-07-21 16:30:19,"{'labels': {'GPE': 1, 'RETAILER': 1, 'STRAIN': 1}, 'entities': [{'key': 'info', 'label': 'GPE', 'text': 'info', 'token_end': 6, 'token_start': 5}, {'key': 'Renders site', 'label': 'RETAILER', 'text': 'Renders site', 'token_end': 13, 'token_start': 11}, {'key': 'not useful', 'label': 'STRAIN', 'text': 'not useful', 'token_end': 17, 'token_start': 15}]}"
False,Maui wowie bud,2020-08-28 20:19:37,"{'labels': {'PRODUCT': 1, 'STRAIN': 1}, 'entities': [{'key': 'maui wowie', 'label': 'STRAIN', 'text': 'Maui wowie', 'token_end': 2, 'token_start': 0}, {'key': 'flower', 'label': 'PRODUCT', 'text': 'bud', 'token_end': 3, 'token_start': 2}]}"
False,Honey sticks with RSO. They were available at Terresana in Springfield but they’re temporarily closed.,2020-08-28 21:14:37,"{'labels': {'PRODUCT_TAG': 3}, 'entities': [{'key': 'honey', 'label': 'PRODUCT_TAG', 'text': 'Honey', 'token_end': 1, 'token_start': 0}, {'key': 'RSO', 'label': 'PRODUCT_TAG', 'text': 'RSO', 'token_end': 4, 'token_start': 3}, {'key': 'Springfield', 'label': 'PRODUCT_TAG', 'text': 'Springfield', 'token_end': 12, 'token_start': 11}]}"
False,"I need a 8th for 20 
",2020-08-24 2:44:29,"{'labels': {}, 'entities': []}"
False,fuck,2020-07-24 0:06:54,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'fuck', 'label': 'PRODUCT', 'text': 'fuck', 'token_end': 1, 'token_start': 0}]}"
False,I'm looking for hemp flower.,2020-07-24 7:58:21,"{'labels': {'PRODUCT': 1, 'PRODUCT_TAG': 1}, 'entities': [{'key': 'hemp', 'label': 'PRODUCT_TAG', 'text': 'hemp', 'token_end': 5, 'token_start': 4}, {'key': 'flower', 'label': 'PRODUCT', 'text': 'flower', 'token_end': 6, 'token_start': 5}]}"
False,Pineapple Express flower,2020-09-03 14:29:45,"{'labels': {'PRODUCT': 1, 'STRAIN': 1}, 'entities': [{'key': 'Pineapple Express', 'label': 'STRAIN', 'text': 'Pineapple Express', 'token_end': 2, 'token_start': 0}, {'key': 'flower', 'label': 'PRODUCT', 'text': 'flower', 'token_end': 3, 'token_start': 2}]}"
False,What shops allow credit card payment?,2020-08-23 2:44:36,"{'labels': {'GPE': 1, 'SERVICE': 1}, 'entities': [{'key': 'credit', 'label': 'SERVICE', 'text': 'credit', 'token_end': 4, 'token_start': 3}, {'key': '?', 'label': 'GPE', 'text': '?', 'token_end': 7, 'token_start': 6}]}"
False,Where can I get Acapulco Gold in north San Diego county?,2020-07-25 3:59:38,"{'labels': {'GPE': 2, 'STRAIN': 1}, 'entities': [{'key': 'Acapulco gold', 'label': 'STRAIN', 'text': 'Acapulco Gold', 'token_end': 6, 'token_start': 4}, {'key': 'San Diego', 'label': 'GPE', 'text': 'San Diego', 'token_end': 10, 'token_start': 8}, {'key': '?', 'label': 'GPE', 'text': '?', 'token_end': 12, 'token_start': 11}]}"
False,Moon rock,2020-08-23 20:17:32,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'Moon rock', 'label': 'PRODUCT', 'text': 'Moon rock', 'token_end': 2, 'token_start': 0}]}"
False,"I'm looking for pink runtz
",2020-09-03 17:58:20,"{'labels': {'PRODUCT': 1, 'STRAIN': 1}, 'entities': [{'key': 'pink', 'label': 'PRODUCT', 'text': 'pink', 'token_end': 5, 'token_start': 4}, {'key': 'runtz', 'label': 'STRAIN', 'text': 'runtz', 'token_end': 6, 'token_start': 5}]}"
True,I found the shake.,2020-07-25 2:19:34,"{'labels': {'PRODUCT': 1}, 'entities': [{'key': 'shake', 'label': 'PRODUCT', 'text': 'shake', 'token_end': 4, 'token_start': 3}]}"
False,"Was looking for a good cheese plant, no info.",2020-07-25 7:56:34,"{'labels': {'GPE': 2, 'STRAIN': 2}, 'entities': [{'key': 'be look', 'label': 'STRAIN', 'text': 'Was looking', 'token_end': 2, 'token_start': 0}, {'key': 'cheese', 'label': 'STRAIN', 'text': 'cheese', 'token_end': 6, 'token_start': 5}, {'key': 'plant', 'label': 'GPE', 'text': 'plant', 'token_end': 7, 'token_start': 6}, {'key': 'no info', 'label': 'GPE', 'text': 'no info', 'token_end': 10, 'token_start': 8}]}"
False,wheres harvest dispensary at in maryland?,2020-08-17 14:26:20,"{'labels': {'GPE': 1, 'SERVICE': 1}, 'entities': [{'key': 'storefront', 'label': 'SERVICE', 'text': 'dispensary', 'token_end': 4, 'token_start': 3}, {'key': 'maryland', 'label': 'GPE', 'text': 'maryland', 'token_end': 7, 'token_start': 6}]}"
True,Obama runtz,2020-08-17 12:39:25,"{'labels': {'STRAIN': 1}, 'entities': [{'key': 'Obama runtz', 'label': 'STRAIN', 'text': 'Obama runtz', 'token_end': 2, 'token_start': 0}]}"
False,Find medical weed,2020-09-11 4:12:57,"{'labels': {'SERVICE': 1}, 'entities': [{'key': 'medical', 'label': 'SERVICE', 'text': 'medical', 'token_end': 2, 'token_start': 1}]}"
False,I am looking for weed that that’s a menthol taste and smell,2020-07-27 22:21:10,"{'labels': {'PRODUCT_TAG': 1}, 'entities': [{'key': 'menthol', 'label': 'PRODUCT_TAG', 'text': 'menthol', 'token_end': 10, 'token_start': 9}]}"
False,I'm looking for butter to make cookies like a stick of butter,2020-07-27 13:50:18,"{'labels': {'PRODUCT': 2, 'STRAIN': 1}, 'entities': [{'key': 'butter', 'label': 'PRODUCT', 'text': 'butter', 'token_end': 5, 'token_start': 4}, {'key': 'cookie', 'label': 'STRAIN', 'text': 'cookies', 'token_end': 8, 'token_start': 7}, {'key': 'butter', 'label': 'PRODUCT', 'text': 'butter', 'token_end': 13, 'token_start': 12}]}"
False,Open dispensary,2020-08-29 10:51:52,"{'labels': {'SERVICE': 1}, 'entities': [{'key': 'storefront', 'label': 'SERVICE', 'text': 'dispensary', 'token_end': 2, 'token_start': 1}]}"
False,"Looking to buy bath bomb in my area (to pick up, not delivery)",2020-07-27 21:42:57,"{'labels': {'GPE': 1, 'PRODUCT': 1, 'SERVICE': 1}, 'entities': [{'key': 'bath', 'label': 'PRODUCT', 'text': 'bath', 'token_end': 4, 'token_start': 3}, {'key': 'pick up', 'label': 'GPE', 'text': 'pick up', 'token_end': 12, 'token_start': 10}, {'key': 'delivery', 'label': 'SERVICE', 'text': 'delivery', 'token_end': 15, 'token_start': 14}]}"
False,"Flower on sale
",2020-08-24 17:23:22,"{'labels': {'PRODUCT': 1, 'SERVICE': 1}, 'entities': [{'key': 'flower', 'label': 'PRODUCT', 'text': 'Flower', 'token_end': 1, 'token_start': 0}, {'key': 'sale', 'label': 'SERVICE', 'text': 'sale', 'token_end': 3, 'token_start': 2}]}"
